name	id	address	zip	longitude	latitude
Academy Of Pacific Rim	5600	1 Westinghouse Plaza	02136	-71.1320302	42.244227
Adams ES	4361	165 Webster Street	02128	-71.03489031	42.365563
Advent School	8019	15 Brimmer Street	02108	-71.0742567	42.3583139
Alighieri Elementary	4321	37 Gove Street	02128	-71.03794008	42.37156844
Baldwin ELC	4621	121 Corey Road	02135	-71.14051062	42.34203867
Bates ES	4081	426 Beech Street	02131	-71.13533061	42.27776866
BCLA - Boston Comm Lead Acad	1195	655 Metropolitan Avenue	02136	-71.1375826	42.2777394
Beethoven ES	4030	5125 Washington Street	02132	-71.15613062	42.26343865
Blackstone ES	4640	380 Shawmut Avenue	02118	-71.07246107	42.34073755
Boston Collegiate Lower	5501	11 Mayhew Street	02125	-71.0628483	42.3217541
Boston Green Acad	1470	20 Warren Street	02135	-71.14596106	42.35044073
Boston Prep	5520	1286 Hyde Park Avenue	02136	-71.1259805	42.2548081
Boston Renaissance ES	5400	1415 Hyde Park Avenue	02136	-71.1526401	42.2994837
Bradley ES	4062	110 Beachview Road	02128	-71.00504508	42.39161618
Bridge Boston	5540	2 McLellan Street	02121	-71.0875863	42.3013299
Bridge Boston 2-4	5541	2 McLellan Street	02121	-71.0875863	42.3013299
Brighton HS	1040	25 Warren Street	02135	-71.14549062	42.34908867
Channing Elementary	4201	35 Sunnyside Street	02136	-71.13332061	42.25162865
Charlestown High School	1050	240 Medford Street	02129	-71.06107059	42.38011868
Chittick ES	4070	154 Ruskindale Road	02126	-71.1047806	42.26725865
Clap ES	4531	35 Harvest Street	02125	-71.05819134	42.3231762
Codman Acad Lower	5441	637 Washington Street	02124	-71.0742432	42.2894184
Comm Acad Sci & Health	1103	11 Charles Street	02122	-71.06172942	42.30112879
Condon ES	4630	200 D Street	02127	-71.05215122	42.33802589
Conley ES	4080	450 Poplar Street	02131	-71.12705061	42.27479865
Curley K-8	4272	40 Pershing Road	02130	-71.11421891	42.31868548
Dearborn STEM Acad	1260	60 Washington Street	02121	-71.08080771	42.30739517
Dever Elementary	4100	325 Mt. Vernon Street	02125	-71.04274058	42.31762867
Dudley Street Neighborhood	4123	6 Shirley Street	02119	-71.07337366	42.32192747
East Boston EEC	4450	135 Gove Street	02128	-71.03411995	42.36967602
East Boston HS	1070	86 White Street	02128	-71.03492143	42.38095746
Edison K-8	4178	60 Glenmont Road	02135	-71.16019062	42.34558867
Edwards Middle	2010	28 Walker Street	02129	-71.06723124	42.37908036
Eliot K-8	4381	16 Charter Street	02113	-71.05336967	42.36610274
Ellis ES	4240	302 Walnut Avenue	02119	-71.09289159	42.3163343
Ellison/Parks EES	4440	108 Babson Street	02126	-71.0918906	42.27178866
English HS	1080	144 Mcbride Street	02130	-71.1096006	42.30600866
Everett ES	4140	71 Pleasant Street	02125	-71.05976976	42.31368761
Excel Acad 1 (EB)	5490	58 Moore Street	02128	-71.0209717	42.3827059
Excel Acad 2 (EB)	5491	401 Bremen Street	02128	-71.0298419	42.3785464
Excel HS	1162	95 G Street	02127	-71.04489058	42.33286867
Frederick MS	2360	270 Columbia Road	02121	-71.07541082	42.30905402
Gardner Pilot Acad	4160	30 Athol Street	02134	-71.13411062	42.36076867
Greenwood S K-8	4130	189 Glenway Street	02121	-71.08066202	42.29656011
Grew ES	4200	40 Gordon Avenue	02136	-71.12732061	42.25676865
Guild ES	4061	195 Leyden Street	02128	-71.00412057	42.38879868
Hale ES	4113	51 Cedar Street	02119	-71.0910406	42.32554867
Haley K-8	4210	570 American Legion Highway	02131	-71.1077206	42.28675866
Harvard/Kent ES	4280	50 Bunker Hill Street	02129	-71.05749225	42.37662852
Haynes EEC	4460	263 Blue Hill Avenue	02119	-71.07893913	42.31496685
HENDERSON 3-12	1140	18 Croftland Avenue	02124	-71.06956993	42.28126173
HENDERSON K-2	4391	1669 Dorchester Avenue	02122	-71.06222064	42.29396673
Hennigan ES	4230	200 Heath Street	02130	-71.10691069	42.32562212
HERNANDEZ K-8	4053	61 School Street	02119	-71.09812021	42.31393788
Higginson K-2 (Harrishoff St)	4241	160 Harrishof Street	02119	-71.09202957	42.31766019
Higginson/Lewis K-8	4242	131 Walnut Avenue	02119	-71.08630957	42.32094834
Holmes ES	4084	40 School Street	02124	-71.07560026	42.2967885
Horace Mann	4610	40 Armington Street	02134	-71.13770062	42.35205867
Hurley K-8	4260	70 Worcester Street	02118	-71.0777406	42.33875867
Irving MS	2140	105 Cummins Highway	02131	-71.12493061	42.28363866
Jackson/Mann	4620	40 Armington Street	02134	-71.13770062	42.35205867
Kennedy JF ES	4270	7 Bolster Street	02130	-71.10583938	42.32178533
Kennedy PJ ES	4541	343 Saratoga Street	02128	-71.03048029	42.3785453
Kenny ES	4390	19 Oakton Avenue	02122	-71.05319154	42.28655025
Kilmer K-3	4031	35 Baker Street	02132	-71.16257013	42.27188582
Kilmer 4-8	4033	140 Russett Road	02132	-71.15236762	42.29266066
King K-8	4055	77 Lawrence Avenue	02121	-71.07619659	42.31129966
Lee Acad	4291	25 Dunbar Avenue	02124	-71.07300863	42.28660893
Lee ES	4290	155 Talbot Avenue	02124	-71.08037542	42.2924381
Lyndon K-8	4331	20 Mt. Vernon Street	02132	-71.15837062	42.28299866
Lyon 9-12 	#N/A	95 Beechcroft Street	02135	-71.16076062	42.35212867
Lyon K-8	4171	50 Beechcroft Street	02135	-71.16150062	42.35107867
Madison Park HS	1210	75 Malcolm X Boulevard	02120	-71.0902906	42.33175867
Manning ES	4311	130 Louders Lane	02130	-71.13149061	42.30558866
Mason ES	4121	150 Norfolk Avenue	02119	-71.07133141	42.32621703
Mather ES	4350	1 Parish Street	02122	-71.06101177	42.30839621
Mattahunt ES	4690	100 Hebron Street	02126	-71.10408944	42.27581531
McCormack MS	2190	315 Mt. Vernon Street	02125	-71.04350058	42.31802867
McKay K-8	4360	122 Cottage Street	02128	-71.03430758	42.36927368
McKinley Elementary	1291	90 Warren Avenue	02116	-71.07352059	42.34436867
McKinley Middle	1292	50 St. Mary Street	02215	-71.10676061	42.34794867
McKinley Prep HS	1293	97 Peterborough Street	02215	-71.0992606	42.34343867
McKinley SEA	1294	90 Warren Avenue	02116	-71.07352059	42.34436867
Mendell ES	4370	164 School Street	02119	-71.1016106	42.31655866
Mildred Ave K-8	4671	5 Mildred Avenue	02126	-71.0904296	42.27676066
Mission Hill K-8	4285	20 Child Street	02130	-71.11386744	42.30703515
Mozart Elementary	4082	236 Beech Street	02131	-71.14105061	42.28122866
Murphy K-8	4400	1 Worrell Street	02122	-71.04919406	42.29420618
ODonnell ES	4543	33 Trenton Street	02128	-71.03801072	42.37808862
Ohrenberger	4410	175 West Boundary Road	02132	-71.14961061	42.26075865
Orchard Gardens K-8	4680	906 Albany Street	02119	-71.07790902	42.33027521
Otis ES	4322	218 Marion Street	02128	-71.03389058	42.37527868
Perkins ES	4022	50 Burke Street	02127	-71.05054059	42.33131867
Perry K-8	4592	745 E. Seventh Street	02127	-71.03019874	42.33212077
Philbrick ES	4561	40 Philbrick Street	02131	-71.11774061	42.28540866
Quincy ES	4650	885 Washington Street	02111	-71.06492059	42.34797867
Quincy Upper School	1450	152 Arlington Street	02116	-71.06905025	42.34840829
Roosevelt K-8 (2-8)	4192	95 Needham Road	02136	-71.12345117	42.24295076
Roosevelt K-8 (K1-1)	4193	30 Millstone Road	02136	-71.13288061	42.23389865
Roxbury Prep Dorchester Campus	5302	206 Magnolia Street	02121	-71.0810657	42.303422
Roxbury Prep Lucy Stone	5301	22 Regina Road	02124	-71.0732756	42.2955009
Roxbury Prep Mission Hill 	#N/A	120 Fisher Avenue	02120	-71.1073228	42.3276398
Russell ES	4530	750 Columbia Road	02125	-71.05954941	42.32038241
SHAW ES	4670	429 Norfolk Street	02124	-71.08684033	42.28212094
St John	8083	9 Moon Street	02113	-71.0548936	42.3639082
Sumner ES	4560	15 Basile Street	02131	-71.12684061	42.28645866
